main_multum_drug_code,active_ingredient_code,ingredient_strength_code
878,5290,6640
879,4425,6981
879,5288,6954
881,4292,5813
882,4425,5976
882,5288,6954
883,4374,6009
884,4425,6073
884,5288,6954
885,4374,6306
886,4425,6608
886,5383,6856
887,4374,6651
888,4425,6981
888,5383,6088
889,4148,5984
890,4148,7007
891,4293,6158
892,4425,5976
892,5383,6894
893,4425,6073
893,5383,6088
894,4425,6252
894,5383,6494
895,4250,6189
895,5204,6488
896,4375,5918
897,4250,6189
897,5204,6856
898,4425,6608
898,5383,6856
899,4425,6981
899,5383,6088
900,4375,6245
901,4250,6152
901,5204,6856
902,4375,5912
903,4150,6001
904,4375,6241
905,4150,6504
906,4295,6013
907,4426,6983
907,4836,5981
909,4153,5925
910,4376,5912
912,4153,5876
913,4153,5829
914,4153,5870
915,4296,6751
916,4153,5923
917,4153,6249
918,4427,6981
918,5285,6377
918,5395,6377
919,4377,5912
920,4427,6252
920,5285,6719
920,5395,6085
921,4210,6807
921,4256,6130
923,4377,6241
924,4377,5965
926,4300,6712
927,4300,6267
928,4378,5918
929,4378,6245
931,4427,6625
931,5385,6958
932,4378,5912
933,4378,6241
934,4378,5965
935,4212,2562
936,4378,6763
937,4429,6488
938,4429,6954
939,4429,6162
940,4429,6489
941,4429,6002
942,4429,6378
943,4429,5981
944,4215,6027
945,4429,5976
946,4429,6377
947,4429,6749
948,4379,5918
949,4429,6001
950,4379,6245
951,4429,6306
952,4379,5912
953,4428,6377
954,4379,6241
955,4428,6001
956,4379,5965
957,4380,5918
958,4380,6245
960,4380,6241
961,4380,5965
962,4380,5912
963,4430,6001
964,4430,6389
965,4381,6755
966,4381,6009
967,4381,6001
968,4381,6306
969,4119,6538
969,4311,6749
969,4318,6640
969,4491,6488
970,4431,5915
971,4119,6389
971,4318,6488
971,4425,6249
971,4835,6712
971,5284,5976
972,4432,6152
973,4432,6377
974,4432,6749
975,4432,6001
976,4432,6152
976,4478,5776
977,4432,6152
977,4478,5814
978,4432,6152
978,4478,5835
979,4119,6763
979,4425,6608
979,5288,6377
980,4119,6763
980,4425,6608
980,5288,6640
981,4432,6377
981,5417,5791
982,4432,6749
982,5417,5829
983,4433,6763
985,4433,6389
986,5671,6984
986,5672,6984
987,4119,6538
987,4566,6152
987,4805,6001
987,5288,6377
989,4437,6377
989,4558,6749
990,4123,6389
991,4123,6763
992,4438,6429
992,5016,6574
993,4438,6674
993,5016,6811
994,4438,6826
994,5016,6946
995,4438,6430
995,5016,6575
996,4538,6289
1000,4539,6763
1001,4302,5978
1004,4540,6389
1005,4302,6252
1005,4491,5981
1005,5288,6085
1006,4301,6085
1006,4491,5981
1007,4542,5790
1008,4542,5825
1009,4302,6252
1009,4566,5981
1009,5288,6085
1010,4302,6252
1010,4566,5981
1010,5383,6494
1011,4543,6162
1012,4543,6504
1013,4544,5829
1014,4302,6073
1014,5284,6152
1014,5288,6152
1015,4302,6073
1015,5288,6954
1016,4302,6834
1016,5383,6856
1017,4302,6073
1017,5383,6088
1019,4302,6613
1019,5383,6863
1020,4544,5791
1020,4834,6377
1021,4302,6252
1021,5383,6494
1022,4544,5791
1022,4834,6749
1023,4302,6608
1023,5383,6856
1024,4544,5829
1024,4834,6377
1025,4566,6156
1025,5367,6840
1027,4544,5829
1027,5085,6712
1028,4303,5744
1029,4544,5870
1029,5085,6712
1030,4569,5923
1031,4569,6249
1032,4304,5831
1033,4569,6608
1034,4304,5870
1035,4304,5923
1036,4304,6249
1037,4620,6389
1038,4547,5976
1039,4547,6001
1040,4547,6162
1041,4570,6715
1042,4547,6377
1043,4547,6749
1044,4624,6100
1045,4547,6954
1046,4624,6100
1047,4624,6389
1048,4624,6763
1049,4305,5825
1050,4305,5866
1052,4305,5895
1053,4625,6082
1054,4567,6704
1054,4625,6762
1055,4567,6704
1055,4625,5925
1057,4567,6704
1057,4625,6250
1058,4567,6704
1058,4625,6609
1059,4548,5724
1060,4548,5803
1061,4548,5722
1062,4548,6603
1065,4305,5895
1066,4567,6704
1066,4632,24151
1067,4567,6704
1067,4632,6004
1068,4567,6704
1068,4632,24152
1069,4567,6704
1069,4632,24153
1071,4305,5825
1071,4665,6708
1072,4549,5802
1072,4698,5742
1073,4632,6641
1074,4632,7002
1075,4305,5866
1075,4665,6708
1076,4632,6194
1077,4305,5895
1077,4665,6708
1078,4550,5752
1079,4550,5752
