Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
2,60.5,-3.35007771,15.15188405,0.0843001394,13.342524394,13.520910267,13.817255378,14.383451481,15.15188405,16.138434225,16.801971953,17.326571961,18.257381051,18.996150455
2,61.5,-3.352893805,15.149804788,0.0849681996,13.330033218,13.509148527,13.806837729,14.376091247,15.149804788,16.145311331,16.816437922,17.348032183,18.293648259,19.04658918
2,62.5,-3.352691376,15.14916825,0.085662539,13.318140526,13.498077398,13.797259824,14.369840963,15.14916825,16.15399692,16.832919646,17.371651874,18.332295253,19.099565142
2,63.5,-3.34966438,15.149949835,0.086382035,13.306853097,13.487699767,13.788518477,14.364687203,15.149949835,16.164455811,16.85137625,17.397385753,18.373267126,19.15501183
2,64.5,-3.343998803,15.152125852,0.0871255909,13.296176731,13.47801782,13.78061022,14.360616901,15.152125852,16.176653938,16.871767854,17.425189324,18.41650918,19.212862288
2,65.5,-3.335889574,15.155671862,0.0878920466,13.286118046,13.469034401,13.773531971,14.357616867,15.155671862,16.190556027,16.894053448,17.455017345,18.461967542,19.273052614
2,66.5,-3.325522491,15.160564192,0.0886802643,13.276682823,13.460751754,13.76728041,14.355674218,15.160564192,16.206127738,16.918192851,17.486825227,18.509588576,19.335518754
2,67.5,-3.31307846,15.166779473,0.0894891056,13.267876512,13.453171909,13.76185216,14.354776232,15.166779473,16.223335021,16.94414613,17.520568625,18.559319065,19.400197469
2,68.5,-3.298732648,15.174294641,0.090317434,13.259704231,13.44629667,13.757243777,14.354910348,15.174294641,16.242144139,16.971873618,17.556203454,18.611106202,19.46702632
2,69.5,-3.282653831,15.183086936,0.0911641168,13.252170761,13.440127612,13.753451746,14.356064151,15.183086936,16.262521673,17.001335934,17.593685902,18.664897596,19.535943651
2,70.5,-3.265003896,15.193133896,0.0920280276,13.245280553,13.434666084,13.750472476,14.358225367,15.193133896,16.284434531,17.032493991,17.632972441,18.72064127,19.606888588
2,71.5,-3.245937506,15.204413348,0.0929080476,13.239037732,13.429913207,13.748302292,14.361381855,15.204413348,16.307849949,17.065309004,17.674019838,18.778285671,19.679801033
2,72.5,-3.225606516,15.216902957,0.0938030328,13.233446775,13.425870418,13.746937764,14.365521553,15.216902957,16.33273474,17.099741723,17.716784498,18.837779538,19.754622335
2,73.5,-3.204146115,15.230581504,0.0947119161,13.228510536,13.422537877,13.746374729,14.370632576,15.230581504,16.35905747,17.135754682,17.761224399,18.899072288,19.83129333
2,74.5,-3.181690237,15.245427448,0.0956335947,13.22423251,13.419916293,13.746609412,14.37670312,15.245427448,16.386786021,17.173309679,17.807296917,18.962113544,19.90975644
2,75.5,-3.158363475,15.261419664,0.096566992,13.220615639,13.41800595,13.747637818,14.383721483,15.261419664,16.415888868,17.212369113,17.854959996,19.026853412,19.989954599
2,76.5,-3.134282833,15.278537278,0.0975110459,13.217662564,13.416806916,13.749455857,14.391676059,15.278537278,16.446334816,17.252895716,17.904171912,19.093242432,20.071831456
2,77.5,-3.109557879,15.296759667,0.0984647101,13.215375632,13.416319045,13.752059342,14.400555326,15.296759667,16.478093,17.294852556,17.954891282,19.161231581,20.155331371
2,78.5,-3.084290931,15.316066442,0.0994269552,13.2137569,13.416541975,13.755443986,14.410347841,15.316066442,16.51113288,17.338203042,18.007077074,19.230772276,20.240399405
2,79.5,-3.058577292,15.336437447,0.1003967693,13.212808146,13.417475136,13.759605404,14.421042231,15.336437447,16.545424242,17.382910923,18.06068861,19.301816386,20.32698132
2,80.5,-3.032505499,15.357852744,0.1013731591,13.21253087,13.419117751,13.764539106,14.432627193,15.357852744,16.580937187,17.428940294,18.115685573,19.374316236,20.41502357
2,81.5,-3.0061576,15.380292613,0.1023551503,13.212926303,13.421468839,13.770240504,14.445091478,15.380292613,16.617642137,17.476255597,18.172028013,19.448224611,20.504473299
2,82.5,-2.979609448,15.403737535,0.1033417884,13.21399541,13.424527221,13.776704905,14.458423895,15.403737535,16.655509821,17.524821619,18.22967635,19.523494768,20.59527834
2,83.5,-2.952930993,15.428168191,0.1043321392,13.215738902,13.428291519,13.783927513,14.4726133,15.428168191,16.69451128,17.574603494,18.288591379,19.600080436,20.687387209
2,84.5,-2.926186592,15.453565452,0.1053252892,13.218157234,13.432760162,13.79190343,14.487648591,15.453565452,16.734617854,17.625566704,18.348734276,19.677935827,20.780749104
2,85.5,-2.899435307,15.479910374,0.1063203463,13.221250616,13.43793139,13.800627653,14.503518707,15.479910374,16.775801186,17.67767708,18.410066599,19.757015637,20.875313902
2,86.5,-2.872731211,15.507184187,0.1073164399,13.225019018,13.443803253,13.810095076,14.520212619,15.507184187,16.818033212,17.730900798,18.472550289,19.837275057,20.971032159
