Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97,Pub3,Pub5,Pub10,Pub25,Pub50,Pub75,Pub90,Pub95,Pub97,Diff3,Diff5,Diff10
1,9.5,-1.177919048,72.345861109,0.0385262623,67.4863482409871,68.0567455477914,68.9559062937649,70.5176063572942,72.345861109,74.2806018978287,76.1211038001601,77.2709525026483,78.0381936701244,67.540075132,68.104173047,68.993390477,70.537824791,72.345861109,74.25920575,76.079359566,77.216492868,77.975261026,-0.0537268910129427,-0.0474274992086379,-0.0374841832350654
1,10.5,-1.045326049,73.666654103,0.038553387,68.693603040503,69.2794921906571,70.2019246073148,71.8006481524649,73.666654103,75.6346184545689,77.5001582544642,78.6623393606722,79.4363749829669,68.747599195,69.327134032,70.239548671,71.820914114,73.666654103,75.613245068,77.458529838,78.608089581,79.373730614,-0.0539961544970282,-0.0476418413428803,-0.0376240636851577
1,11.5,-0.902800887,74.921297174,0.0386155012,69.8320014339409,70.4339743086492,71.3804554654194,73.0171184560636,74.921297174,76.9222432757408,78.8120169668475,79.9857821808662,80.7660206662514,69.886334165,70.481887771,71.418262105,73.037452709,74.921297174,76.900875578,78.770474792,79.931706293,80.7036248,-0.0543327310590485,-0.047913462350806,-0.0378066395805945
1,12.5,-0.753908107,76.118375358,0.0387034611,70.9108782371828,71.5294120412332,72.5005495820495,74.1758148300991,76.118375358,78.1519584863021,80.0652015503418,81.2499031578935,82.0358547387811,70.96559835,71.577640159,72.538570671,74.196232751,76.118375358,78.130583759,80.023723078,81.195973127,81.97367578,-0.0547201128172219,-0.0482281177668114,-0.0380210889504724
1,13.5,-0.601263523,77.264799111,0.0388105571,71.9376972069369,72.573183808992,73.5694592157624,75.2838018914029,77.264799111,79.3306066926996,81.2665956603052,82.4616686472545,83.2529242781077,71.992843342,72.621759125,73.607718659,75.304314894,77.264799111,79.309215409,81.225163529,82.407862309,83.190936723,-0.0551461350630973,-0.0485753160079696,-0.0382594432375782
1,14.5,-0.446805039,78.366223087,0.0389317838,72.9185302489553,73.5712963119119,74.5930947130448,76.3468477709515,78.366223087,80.4637989233865,82.4218515364754,83.6268000285099,84.423015699161,72.974131924,73.620243502,74.631610453,76.367464315,78.366223087,80.44238393,82.380452238,83.57309961,84.361198636,-0.0556016750447128,-0.0489471900880574,-0.0385157399551446
1,15.5,-0.291974772,79.427340501,0.0390633563,73.8583906008274,74.5287118963997,75.5763433306313,77.3697300415551,79.427340501,81.5562016910643,83.5356759291034,84.7500624094899,85.5509470424253,73.914470318,74.578049594,75.615128732,77.390456324,79.427340501,81.534757635,83.494298897,84.696453522,85.48928313,-0.0560797171726364,-0.0493376976003361,-0.0387854013686564
1,16.5,-0.13784767,80.452094919,0.0392023816,74.7614707523533,75.4495825856131,76.5232975362633,78.3564553342004,80.452094919,82.6117438683462,84.6120363751048,85.8354730177395,86.6407790212955,74.818045611,75.499324779,76.56236246,78.377295833,80.452094919,82.590266757,84.570673274,85.781943856,86.57925367,-0.0565748586467407,-0.0497421933869049,-0.0390649237367455
1,17.5,0.014776155,81.443836034,0.0393466285,75.63131645364,76.3374213958132,77.4374223484628,79.3104206167123,81.443836034,83.6337690011812,85.6543131460014,86.8864547305889,87.6959705150485,75.688399286,76.387578409,77.476773897,79.33137846,81.443836034,83.612255899,85.612957383,86.832995534,87.63457134,-0.0570828323599812,-0.0501570131868334,-0.0393515485372404
1,18.5,0.1653041691,82.405436434,0.0394943647,76.4709562790104,77.1952300188364,78.3216802341811,80.2345338332348,82.405436434,84.625149679001,86.6654134890358,87.9059515746162,88.719495577574,76.528556562,77.245809301,78.361323357,80.255611109,82.405436434,84.603598457,86.624059806,87.852554165,88.65821192,-0.0576002829896254,-0.0505792821635538,-0.0396431228189016
