"1387","060272","002"
"1388","016793","003"
"1389","016793","004"
"1390","017741","001"
"1390","019259","001"
"1392","050600","001"
"1393","050615","001"
"1395","050639","002"
"1396","050639","001"
"1397","050639","003"
"1398","011856","006"
"1399","062803","001"
"1404","050675","001"
"1412","050467","001"
"1413","050467","003"
"1420","063206","001"
"1428","050689","001"
"1429","087442","001"
"1430","087442","002"
"1431","087442","003"
"1432","087442","004"
"1433","087442","005"
"1487","012142","008"
"1488","012141","001"
"1489","012141","002"
"1490","012142","010"
"1492","012142","006"
"1493","012142","007"
"1494","012142","008"
"1495","012142","010"
"1496","012142","009"
"1499","016979","001"
"1500","016979","002"
"1501","062336","001"
"1502","062336","002"
"1506","050443","001"
"1507","Other","000"
"1508","017422","001"
"1509","062311","001"
"1510","062311","002"
"1511","062311","002"
"1512","017588","001"
"1513","017588","002"
"1514","017588","003"
"1515","017588","001"
"1515","017588","002"
"1515","017588","003"
"1520","062336","003"
"1521","018057","001"
"1522","018057","002"
"1523","020119","001"
"1524","016885","001"
"1525","019557","001"
"1526","018768","001"
"1529","019880","001"
"1530","019880","002"
"1531","019880","003"
"1532","018057","004"
"1533","018057","004"
"1535","062926","002"
"1536","062926","003"
"1538","061901","002"
"1544","19884","001"
"1553","017857","002"
"1554","017857","001"
"1555","017857","002"
"1556","017857","004"
"1558","061395","006"
"1559","062527","004"
"1561","061490","006"
"1563","062527","002"
"1564","062527","003"
"1574","062831","001"
"1575","062831","002"
"1579","061395","002"
"1580","061395","003"
"1581","061395","004"
"1582","061395","005"
"1595","061455","001"
"1604","062737","002"
"1607","061490","002"
"1608","061490","003"
"1629","019981","--1"
"1629","Other","000"
"1632","017538","--1"
"1632","Other","000"
"1633","019882","001"
"1634","018327","001"
"1635","018327","002"
"1646","018150","001"
"1650","018058","001"
"1659","016708","001"
"1660","Other","000"
"1665","016515","UNK"
"1666","016517","UNK"
"1667","011777","001"
"1668","017084","001"
"1669","071909","001"
"1670","071910","001"
"1674","017057","002"
"1676","016983","001"
"1677","013295","001"
"1678","014295","001"
"1680","019710","003"
"1681","019710","005"
"1682","013295","002"
"1686","087388","001"
"1697","085368","001"
"1700","050081","002"
"1702","050612","001"
"1709","087748","001"
"1710","017760","001"
"1713","Other","000"
"1719","017741","001"
"1720","017994","001"
"1724","016988","001"
"1730","Other","000"
"1737","050567","001"
"1738","019855","001"
"1754","017557","003"
"1755","017557","004"
"1756","017557","002"
"1763","005010","005"
"1764","005010","001"
"1765","005010","004"
"1778","003444","001"
"1811","Other","000"
"1828","011287","001"
"1842","Other","000"
"1843","Other","000"
"1844","Other","000"
"1853","010155","002"
"1858","017430","001"
"1859","014214","002"
"1861","014214","005"
"1865","Other","000"
"1866","Other","000"
"1880","Other","000"
"1882","006882","001"
"1884","009768","001"
"1906","018458","001"
"1906","076202","001"
"1907","018733","001"
"1907","075735","001"
"1912","012885","001"
"1913","012462","001"
"1914","012699","UNK"
"1916","016936","001"
"1918","018168","001"
"1919","Other","000"
"1920","012151","009"
"1921","012616","004"
"1922","012616","005"
"1923","012151","010"
"1924","012151","008"
"1925","018841","004"
"1926","019268","003"
"1927","019268","001"
"1928","018817","003"
"1929","012623","003"
"1930","012623","001"
