"186219","135","OTHER"
"186222","135","OTHER"
"186226","135","OTHER"
"186229","135","OTHER"
"186231","135","OTHER"
"186234","135","OTHER"
"186237","135","OTHER"
"186240","135","OTHER"
"186246","135","OTHER"
"186247","135","OTHER"
"186248","135","OTHER"
"186249","135","OTHER"
"186252","135","OTHER"
"186253","135","OTHER"
"186254","135","OTHER"
"186255","135","OTHER"
"186256","135","OTHER"
"186257","135","OTHER"
"186258","135","OTHER"
"186268","135","OTHER"
"186271","135","OTHER"
"186277","135","OTHER"
"186282","135","OTHER"
"186289","135","OTHER"
"186290","135","OTHER"
"186291","135","OTHER"
"186294","135","OTHER"
"186300","135","OTHER"
"186308","135","OTHER"
"186312","135","OTHER"
"186313","135","OTHER"
"186321","135","OTHER"
"186333","135","OTHER"
"186337","135","OTHER"
"311749","135","OTHER"
"186465","135","OTHER"
"186467","135","OTHER"
"186469","135","OTHER"
"186472","135","OTHER"
"186474","135","OTHER"
"186475","135","OTHER"
"186502","135","OTHER"
"186507","135","OTHER"
"186508","135","OTHER"
"186509","135","OTHER"
"186511","135","OTHER"
"186513","135","OTHER"
"186517","135","OTHER"
"186522","135","OTHER"
"186535","135","OTHER"
"186539","135","OTHER"
"187001","135","OTHER"
"187010","135","OTHER"
"187015","135","OTHER"
"187016","135","OTHER"
"187017","135","OTHER"
"187018","135","OTHER"
"187021","135","OTHER"
"187022","135","OTHER"
"187024","135","OTHER"
"187027","135","OTHER"
"187028","135","OTHER"
"187030","135","OTHER"
"187031","135","OTHER"
"187033","135","OTHER"
"187038","135","OTHER"
"187039","135","OTHER"
"187041","135","OTHER"
"187171","135","OTHER"
"188017","135","OTHER"
"188066","135","OTHER"
"188068","135","OTHER"
"188069","135","OTHER"
"188309","135","OTHER"
"253534","135","OTHER"
"188309","135","OTHER"
"188458","135","OTHER"
"188460","135","OTHER"
"188465","135","OTHER"
"188467","135","OTHER"
"188537","135","OTHER"
"188542","135","OTHER"
"188546","135","OTHER"
"188549","135","OTHER"
"188553","135","OTHER"
"188555","135","OTHER"
"188760","135","OTHER"
"188768","135","OTHER"
"188779","135","OTHER"
"188798","135","OTHER"
"188811","135","OTHER"
"188814","135","OTHER"
"188815","135","OTHER"
"188818","135","OTHER"
"188819","135","OTHER"
"188821","135","OTHER"
"188822","135","OTHER"
"188824","135","OTHER"
"188825","135","OTHER"
"188828","135","OTHER"
"188831","135","OTHER"
"188835","135","OTHER"
"188836","135","OTHER"
"188837","135","OTHER"
"188838","135","OTHER"
"188839","135","OTHER"
"187614","135","OTHER"
"187622","135","OTHER"
"189204","135","OTHER"
"189232","135","OTHER"
"189237","135","OTHER"
"188943","135","OTHER"
"266537","135","OTHER"
"189203","135","OTHER"
"189410","135","OTHER"
"189656","135","OTHER"
"189659","135","OTHER"
"189668","135","OTHER"
"189670","135","OTHER"
"189685","135","OTHER"
"189688","135","OTHER"
"189693","135","OTHER"
"189695","135","OTHER"
"189698","135","OTHER"
"189654","135","OTHER"
"189718","135","OTHER"
"189644","135","OTHER"
"189666","135","OTHER"
"189643","135","OTHER"
"189720","135","OTHER"
"189721","135","OTHER"
"189735","135","OTHER"
"189738","135","OTHER"
"189739","135","OTHER"
"189749","135","OTHER"
"189758","135","OTHER"
"189745","135","OTHER"
"189754","135","OTHER"
"189785","135","OTHER"
"189788","135","OTHER"
"189789","135","OTHER"
"189791","135","OTHER"
"189795","135","OTHER"
"189798","135","OTHER"
"189800","135","OTHER"
"189801","135","OTHER"
"189815","135","OTHER"
"189824","135","OTHER"
"189818","135","OTHER"
"189819","135","OTHER"
"189820","135","OTHER"
"189821","135","OTHER"
"189822","135","OTHER"
"189823","135","OTHER"
"189826","135","OTHER"
"189827","135","OTHER"
"189828","135","OTHER"
"189829","135","OTHER"
"189832","135","OTHER"
"189833","135","OTHER"
"189834","135","OTHER"
"189844","135","OTHER"
"189845","135","OTHER"
"189879","135","OTHER"
"189881","135","OTHER"
"189882","135","OTHER"
"189883","135","OTHER"
"189884","135","OTHER"
"189886","135","OTHER"
